CPU: 0.3%, Memory: 30.1%, Active Process: 270
CPU: 0.5%, Memory: 30.1%, Active Process: 270
CPU: 0.5%, Memory: 30.2%, Active Process: 270
CPU: 0.3%, Memory: 30.1%, Active Process: 270
CPU: 1.0%, Memory: 30.1%, Active Process: 270
CPU: 0.7%, Memory: 30.1%, Active Process: 270
CPU: 1.0%, Memory: 30.1%, Active Process: 270
CPU: 1.0%, Memory: 30.1%, Active Process: 270
CPU: 0.7%, Memory: 30.1%, Active Process: 270
CPU: 0.7%, Memory: 30.1%, Active Process: 270
CPU: 0.7%, Memory: 30.1%, Active Process: 270
CPU: 0.7%, Memory: 30.1%, Active Process: 270
CPU: 0.3%, Memory: 30.2%, Active Process: 270
CPU: 0.3%, Memory: 30.2%, Active Process: 270
CPU: 0.3%, Memory: 30.2%, Active Process: 270
CPU: 0.2%, Memory: 30.2%, Active Process: 270
CPU: 0.2%, Memory: 30.2%, Active Process: 270
CPU: 0.2%, Memory: 30.2%, Active Process: 270
CPU: 0.5%, Memory: 30.2%, Active Process: 270
CPU: 0.5%, Memory: 30.2%, Active Process: 270
CPU: 0.5%, Memory: 30.2%, Active Process: 270
CPU: 0.7%, Memory: 30.3%, Active Process: 270
CPU: 0.5%, Memory: 30.3%, Active Process: 270
CPU: 1.0%, Memory: 30.3%, Active Process: 270
CPU: 0.7%, Memory: 30.3%, Active Process: 270
CPU: 0.7%, Memory: 30.3%, Active Process: 270
CPU: 0.5%, Memory: 30.3%, Active Process: 270
CPU: 0.5%, Memory: 30.3%, Active Process: 270
CPU: 0.8%, Memory: 30.3%, Active Process: 270
CPU: 0.8%, Memory: 30.3%, Active Process: 270
